repository_name,date,clones,unique_visitors/cloners
github-traffic-stats,2017-07-17,1,1
github-traffic-stats,2017-07-24,2,2
github-traffic-stats,2017-07-26,1,1
github-traffic-stats,2017-07-29,1,1
